Title2,Title_URL,Number,Number1,Number2,cardschool__departmentsc19lmz2k0,cardschool__schoolsc19lmz2k1,cardfeedback__cardfeedbackitemlq6nix1,cardfeedback__cardfeedbackitemlq6nix13,cardfeedback__cardfeedbackitemlq6nix14,cardfeedback__cardfeedbackitemlq6nix15,Field
Sabrina Sidaras,https://www.ratemyprofessors.com/professor/1815679,QUALITY,4.2,19 ratings,Psychology,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5,4.2
Jonathan Crane,https://www.ratemyprofessors.com/professor/1816436,QUALITY,4.4,4 ratings,Religion,Emory University,"100%
would take again",100%,"2.7
level of difficulty",2.7,4.4
Hazel Gold,https://www.ratemyprofessors.com/professor/1817444,QUALITY,,6 ratings,Spanish,Emory University,"50%
would take again",50%,"2.3
level of difficulty",2.3,2.8
Rebbecca Kaplan,https://www.ratemyprofessors.com/professor/1818337,QUALITY,4.7,7 ratings,Spanish,Emory University,"100%
would take again",100%,"2
level of difficulty",2,4.7
Samantha Allen,https://www.ratemyprofessors.com/professor/1818588,QUALITY,4.8,2 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5,4.8
Shuai Zheng,https://www.ratemyprofessors.com/professor/1819635,QUALITY,,1 ratings,Computer Science,Emory University,"N/A
would take again",N/A,"5
level of difficulty",5,1
Justine Liepkalns,https://www.ratemyprofessors.com/professor/1820103,QUALITY,,9 ratings,Biology,Emory University,"100%
would take again",100%,"3.1
level of difficulty",3.1,2.9
Erwin Rosinberg,https://www.ratemyprofessors.com/professor/1821005,QUALITY,4.7,13 ratings,English,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4,4.7
Sergio Gutierrez Negron,https://www.ratemyprofessors.com/professor/1821050,QUALITY,4.6,4 ratings,Spanish,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3,4.6
Lilia Coropceanu,https://www.ratemyprofessors.com/professor/1827823,QUALITY,4.8,7 ratings,French,Emory University,"100%
would take again",100%,"2.8
level of difficulty",2.8,4.8
Jamie Davis,https://www.ratemyprofessors.com/professor/1854465,QUALITY,4.7,15 ratings,Spanish,Emory University,"N/A
would take again",N/A,"1.8
level of difficulty",1.8,4.7
Michelle Parsons,https://www.ratemyprofessors.com/professor/1856200,QUALITY,4.7,8 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"2.4
level of difficulty",2.4,4.7
Brandy Simula,https://www.ratemyprofessors.com/professor/1856276,QUALITY,4.2,5 ratings,Sociology,Emory University,"N/A
would take again",N/A,"1.6
level of difficulty",1.6,4.2
Maria Aslam,https://www.ratemyprofessors.com/professor/1856600,QUALITY,,3 ratings,Economics,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3,2.3
Lobsang Negi,https://www.ratemyprofessors.com/professor/1856959,QUALITY,,5 ratings,Religion,Emory University,"80%
would take again",80%,"2
level of difficulty",2,3.8
Sarah Calcutt,https://www.ratemyprofessors.com/professor/1862937,QUALITY,,2 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5,1
Erin Suzuki,https://www.ratemyprofessors.com/professor/1867111,QUALITY,4.8,2 ratings,English,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5,4.8
Malachi Black,https://www.ratemyprofessors.com/professor/1867487,QUALITY,4.3,6 ratings,English,Emory University,"N/A
would take again",N/A,"3.2
level of difficulty",3.2,4.3
William Ekins,https://www.ratemyprofessors.com/professor/1867793,QUALITY,4.3,2 ratings,Economics,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,4.3
Dalia Judovitz,https://www.ratemyprofessors.com/professor/1867908,QUALITY,4,2 ratings,French,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4,4
Rhiannon Evangelista,https://www.ratemyprofessors.com/professor/1868192,QUALITY,,9 ratings,History,Emory University,"100%
would take again",100%,"2.6
level of difficulty",2.6,3.3
Ellen Anderson,https://www.ratemyprofessors.com/professor/1869723,QUALITY,4.5,5 ratings,Philosophy,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,4.5
Ashlee Bledsoe,https://www.ratemyprofessors.com/professor/1870642,QUALITY,,12 ratings,Sociology,Emory University,"82%
would take again",82%,"2.3
level of difficulty",2.3,3.4
Melvin Rogers,https://www.ratemyprofessors.com/professor/1870897,QUALITY,,2 ratings,Philosophy,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4,3.3
Natasha Trethewey,https://www.ratemyprofessors.com/professor/1871310,QUALITY,4.9,4 ratings,English,Emory University,"100%
would take again",100%,"2.5
level of difficulty",2.5,4.9
Cody Smith,https://www.ratemyprofessors.com/professor/1872497,QUALITY,4.5,1 ratings,Biology,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,4.5
Oliver Randall,https://www.ratemyprofessors.com/professor/1854450,QUALITY,,28 ratings,Business,Emory University,"79%
would take again",79%,"3.4
level of difficulty",3.4,3.7
Sarah Stein,https://www.ratemyprofessors.com/professor/1854460,QUALITY,5,1 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,5
Brian Campbell,https://www.ratemyprofessors.com/professor/1854464,QUALITY,5,1 ratings,Geology,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,5
Dorothea Coblentz,https://www.ratemyprofessors.com/professor/1867588,QUALITY,4.9,7 ratings,English,Emory University,"100%
would take again",100%,"1.8
level of difficulty",1.8,4.9
Susan Gagliardi,https://www.ratemyprofessors.com/professor/1873991,QUALITY,,7 ratings,Art History,Emory University,"75%
would take again",75%,"4
level of difficulty",4,3.5
Kristin Mann,https://www.ratemyprofessors.com/professor/1874589,QUALITY,4.5,4 ratings,History,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5,4.5
Nagueyalti Warren,https://www.ratemyprofessors.com/professor/1875382,QUALITY,,11 ratings,Ethnic Studies,Emory University,"75%
would take again",75%,"3.7
level of difficulty",3.7,2.4
Laura Finzi,https://www.ratemyprofessors.com/professor/1876863,QUALITY,,14 ratings,Physics,Emory University,"100%
would take again",100%,"4.1
level of difficulty",4.1,1.3
Khalid Salaita,https://www.ratemyprofessors.com/professor/1877728,QUALITY,,15 ratings,Chemistry,Emory University,"67%
would take again",67%,"4.1
level of difficulty",4.1,3.3
Perry Guevera,https://www.ratemyprofessors.com/professor/1880323,QUALITY,5,1 ratings,English,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,5
Kris Knisely,https://www.ratemyprofessors.com/professor/1880744,QUALITY,5,4 ratings,French,Emory University,"N/A
would take again",N/A,"1.8
level of difficulty",1.8,5
Suresh Venapally,https://www.ratemyprofessors.com/professor/1884840,QUALITY,4.3,3 ratings,Mathematics,Emory University,"100%
would take again",100%,"2.3
level of difficulty",2.3,4.3
Kevin Young,https://www.ratemyprofessors.com/professor/1884842,QUALITY,,2 ratings,English,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,3.5
Esther Simons Weinberg,https://www.ratemyprofessors.com/professor/1885354,QUALITY,5,2 ratings,Languages,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,5
Charlie Michael,https://www.ratemyprofessors.com/professor/1885876,QUALITY,4.5,6 ratings,Film & Media Studies,Emory University,"80%
would take again",80%,"2.8
level of difficulty",2.8,4.5
Eriko Nishizawa,https://www.ratemyprofessors.com/professor/1885957,QUALITY,5,7 ratings,Languages,Emory University,"100%
would take again",100%,"2.4
level of difficulty",2.4,5
Robyn Banton,https://www.ratemyprofessors.com/professor/1932754,QUALITY,4,2 ratings,French,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5,4
Manish Tripathi,https://www.ratemyprofessors.com/professor/1934169,QUALITY,4.3,3 ratings,Business,Emory University,"N/A
would take again",N/A,"2.7
level of difficulty",2.7,4.3
Robert Torre,https://www.ratemyprofessors.com/professor/1938478,QUALITY,4.5,3 ratings,Music,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,4.5
Gordon Streeb,https://www.ratemyprofessors.com/professor/1939150,QUALITY,,7 ratings,Economics,Emory University,"60%
would take again",60%,"2.7
level of difficulty",2.7,3.1
Benjamin Tovrog,https://www.ratemyprofessors.com/professor/1940152,QUALITY,,15 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5,3.4
Amanda Clemm,https://www.ratemyprofessors.com/professor/1941436,QUALITY,,2 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5,3.8
Leslie Harris,https://www.ratemyprofessors.com/professor/1942145,QUALITY,4,1 ratings,History,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,4
Sarah Richards,https://www.ratemyprofessors.com/professor/1943339,QUALITY,4,4 ratings,History,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3,4
Shozo Yokoyama,https://www.ratemyprofessors.com/professor/1906149,QUALITY,,5 ratings,Biology,Emory University,"0%
would take again",0%,"4.2
level of difficulty",4.2,2
Patricia Marsteller,https://www.ratemyprofessors.com/professor/1906463,QUALITY,,11 ratings,Biology,Emory University,"50%
would take again",50%,"1.8
level of difficulty",1.8,2
William Black,https://www.ratemyprofessors.com/professor/1908105,QUALITY,,9 ratings,Accounting,Emory University,"N/A
would take again",N/A,"3.9
level of difficulty",3.9,1.6
Jessica Fuller,https://www.ratemyprofessors.com/professor/1910499,QUALITY,4.5,3 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3,4.5
Thomas Abelew,https://www.ratemyprofessors.com/professor/1911016,QUALITY,,0 ratings,Medicine,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Elena Conis,https://www.ratemyprofessors.com/professor/1919560,QUALITY,4.8,2 ratings,History,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4,4.8
Reginald Little,https://www.ratemyprofessors.com/professor/1920574,QUALITY,,12 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"4.3
level of difficulty",4.3,1.3
Sarah Uh,https://www.ratemyprofessors.com/professor/1921887,QUALITY,,0 ratings,Economics,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Gina Gallois,https://www.ratemyprofessors.com/professor/1923867,QUALITY,4,2 ratings,Health Science,Emory University,"100%
would take again",100%,"3
level of difficulty",3,4
Margarita Zabelina,https://www.ratemyprofessors.com/professor/1925148,QUALITY,5,3 ratings,Economics,Emory University,"N/A
would take again",N/A,"1.3
level of difficulty",1.3,5
James Rosenfeld,https://www.ratemyprofessors.com/professor/1927891,QUALITY,4.9,3 ratings,Finance,Emory University,"100%
would take again",100%,"3.3
level of difficulty",3.3,4.9
Melissa Hackman,https://www.ratemyprofessors.com/professor/1930454,QUALITY,4.3,2 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"1.5
level of difficulty",1.5,4.3
Ryan Cook,https://www.ratemyprofessors.com/professor/1931387,QUALITY,,10 ratings,Film,Emory University,"43%
would take again",43%,"2.5
level of difficulty",2.5,2.9
Robert Lee,https://www.ratemyprofessors.com/professor/1931454,QUALITY,,0 ratings,Accounting,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Rizvana Bradley,https://www.ratemyprofessors.com/professor/1931961,QUALITY,4.8,5 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"3.4
level of difficulty",3.4,4.8
Robert Wyttenbach,https://www.ratemyprofessors.com/professor/1945502,QUALITY,,7 ratings,Science,Emory University,"50%
would take again",50%,"2.5
level of difficulty",2.5,3.3
Eilaf Ahmed,https://www.ratemyprofessors.com/professor/1948763,QUALITY,,5 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"4.4
level of difficulty",4.4,2.5
Tze-Yin Teo,https://www.ratemyprofessors.com/professor/1948931,QUALITY,,0 ratings,Theater,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Ke Wu,https://www.ratemyprofessors.com/professor/1953573,QUALITY,4.7,3 ratings,Economics,Emory University,"N/A
would take again",N/A,"1.3
level of difficulty",1.3,4.7
Mika Yamaguchi,https://www.ratemyprofessors.com/professor/1955040,QUALITY,5,2 ratings,Languages,Emory University,"N/A
would take again",N/A,"1.5
level of difficulty",1.5,5
Benjamin Krakauer,https://www.ratemyprofessors.com/professor/1956111,QUALITY,,1 ratings,Music,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,2.5
Leandro Gryngarten,https://www.ratemyprofessors.com/professor/1959174,QUALITY,,2 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5,2.3
Leigh  Allen,https://www.ratemyprofessors.com/professor/1961156,QUALITY,,6 ratings,French,Emory University,"100%
would take again",100%,"3.2
level of difficulty",3.2,3.9
Roshni Patel,https://www.ratemyprofessors.com/professor/1961687,QUALITY,4,2 ratings,Philosophy,Emory University,"100%
would take again",100%,"3.5
level of difficulty",3.5,4
Gloria Jirsaraie,https://www.ratemyprofessors.com/professor/1962279,QUALITY,,2 ratings,English,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5,3.8
Dennis Goginsky,https://www.ratemyprofessors.com/professor/1962441,QUALITY,4.3,2 ratings,Business,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5,4.3
Jonathan prude,https://www.ratemyprofessors.com/professor/1965041,QUALITY,4.7,8 ratings,History,Emory University,"100%
would take again",100%,"3
level of difficulty",3,4.7
Dennis Liotta,https://www.ratemyprofessors.com/professor/1967197,QUALITY,,8 ratings,Chemistry,Emory University,"70%
would take again",70%,"3.6
level of difficulty",3.6,3.4
Donald Verene,https://www.ratemyprofessors.com/professor/1968396,QUALITY,4.4,14 ratings,Philosophy,Emory University,"80%
would take again",80%,"1.8
level of difficulty",1.8,4.4
Claire Laville,https://www.ratemyprofessors.com/professor/1969660,QUALITY,,2 ratings,English,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5,3.3
Paul Hooper,https://www.ratemyprofessors.com/professor/1969902,QUALITY,4.9,8 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,4.9
Daniel LaChance,https://www.ratemyprofessors.com/professor/1971179,QUALITY,4.4,9 ratings,History,Emory University,"86%
would take again",86%,"3.1
level of difficulty",3.1,4.4
Cengiz Günay,https://www.ratemyprofessors.com/professor/2000090,QUALITY,,0 ratings,Computer Science,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Aubrey Graham,https://www.ratemyprofessors.com/professor/2000793,QUALITY,5,4 ratings,Anthropology,Emory University,"100%
would take again",100%,"2
level of difficulty",2,5
Cameron Lee,https://www.ratemyprofessors.com/professor/2002062,QUALITY,,10 ratings,Business,Emory University,"0%
would take again",0%,"3
level of difficulty",3,2.3
Tressie  Cottom,https://www.ratemyprofessors.com/professor/2004306,QUALITY,4.8,2 ratings,Sociology,Emory University,"100%
would take again",100%,"2
level of difficulty",2,4.8
Rahimjon Abdugafurov,https://www.ratemyprofessors.com/professor/2004494,QUALITY,5,1 ratings,Languages,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,5
Stephen Crist,https://www.ratemyprofessors.com/professor/2004937,QUALITY,5,4 ratings,Music,Emory University,"100%
would take again",100%,"2.3
level of difficulty",2.3,5
Michael Berger ,https://www.ratemyprofessors.com/professor/2006240,QUALITY,4.7,10 ratings,Religion,Emory University,"100%
would take again",100%,"3.1
level of difficulty",3.1,4.7
Candela Manfredi,https://www.ratemyprofessors.com/professor/2006829,QUALITY,,0 ratings,Biology,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Philippe  Rochat,https://www.ratemyprofessors.com/professor/1976763,QUALITY,4.2,3 ratings,Psychology,Emory University,"100%
would take again",100%,"3.7
level of difficulty",3.7,4.2
Ashley Watts,https://www.ratemyprofessors.com/professor/1977288,QUALITY,5,4 ratings,Psychology,Emory University,"100%
would take again",100%,"3.8
level of difficulty",3.8,5
Alison Heslin,https://www.ratemyprofessors.com/professor/1978421,QUALITY,4.5,3 ratings,Sociology,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3,4.5
David  Jacho-Chavez,https://www.ratemyprofessors.com/professor/1978907,QUALITY,,7 ratings,Economics,Emory University,"58%
would take again",58%,"4
level of difficulty",4,3
Natasha Bryant,https://www.ratemyprofessors.com/professor/1980151,QUALITY,,0 ratings,Sociology,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Bruce Levin,https://www.ratemyprofessors.com/professor/1981205,QUALITY,,6 ratings,Biology,Emory University,"67%
would take again",67%,"4
level of difficulty",4,2
Anca Doloc-Mihu,https://www.ratemyprofessors.com/professor/1982455,QUALITY,,16 ratings,Computer Science,Emory University,"72%
would take again",72%,"3.4
level of difficulty",3.4,3.6
Stefan Boettcher,https://www.ratemyprofessors.com/professor/1982764,QUALITY,4,1 ratings,Physics,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,4
Benjamin Jordan,https://www.ratemyprofessors.com/professor/1986482,QUALITY,,1 ratings,Business,Emory University,"0%
would take again",0%,"1
level of difficulty",1,1
Edouard Wemy,https://www.ratemyprofessors.com/professor/1987240,QUALITY,,11 ratings,Economics,Emory University,"100%
would take again",100%,"3.5
level of difficulty",3.5,3.1
David Jenkins,https://www.ratemyprofessors.com/professor/1988257,QUALITY,,0 ratings,Religion,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Emily Leithauser,https://www.ratemyprofessors.com/professor/1988307,QUALITY,4.6,4 ratings,English,Emory University,"100%
would take again",100%,"2.5
level of difficulty",2.5,4.6
Hayk Harutyunyan,https://www.ratemyprofessors.com/professor/1989821,QUALITY,,3 ratings,Physics,Emory University,"34%
would take again",34%,"3
level of difficulty",3,2.3
Dustin Cicero,https://www.ratemyprofessors.com/professor/1993119,QUALITY,,0 ratings,Music,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Eric Choi,https://www.ratemyprofessors.com/professor/1995860,QUALITY,,11 ratings,Mathematics,Emory University,"50%
would take again",50%,"2.9
level of difficulty",2.9,3.9
Tianlei Xu,https://www.ratemyprofessors.com/professor/1999313,QUALITY,5,1 ratings,Computer Science,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,5
Lisa Paulsen,https://www.ratemyprofessors.com/professor/2023764,QUALITY,5,3 ratings,Theater,Emory University,"100%
would take again",100%,"1.3
level of difficulty",1.3,5
Shanna Early,https://www.ratemyprofessors.com/professor/2025470,QUALITY,,1 ratings,English,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4,2
María Carrión,https://www.ratemyprofessors.com/professor/2026098,QUALITY,,5 ratings,Spanish,Emory University,"67%
would take again",67%,"3.2
level of difficulty",3.2,3
Shlomit Finkelstein,https://www.ratemyprofessors.com/professor/2027251,QUALITY,4.5,1 ratings,Psychology,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,4.5
Susan White,https://www.ratemyprofessors.com/professor/2027952,QUALITY,,0 ratings,Writing,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Paul Spearman,https://www.ratemyprofessors.com/professor/2032609,QUALITY,,0 ratings,Medicine,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Tanine Allison,https://www.ratemyprofessors.com/professor/2034637,QUALITY,4.3,5 ratings,Film,Emory University,"100%
would take again",100%,"2.8
level of difficulty",2.8,4.3
Natalie Merrill,https://www.ratemyprofessors.com/professor/2040567,QUALITY,5,1 ratings,Psychology,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,5
Jehu Hanciles,https://www.ratemyprofessors.com/professor/2041299,QUALITY,,1 ratings,Religion,Emory University,"0%
would take again",0%,"4
level of difficulty",4,1
Shel Swenson,https://www.ratemyprofessors.com/professor/2046380,QUALITY,,18 ratings,Mathematics,Emory University,"31%
would take again",31%,"3.2
level of difficulty",3.2,2.5
Elena Cholakova,https://www.ratemyprofessors.com/professor/2049821,QUALITY,5,3 ratings,Music,Emory University,"100%
would take again",100%,"2.3
level of difficulty",2.3,5
Allison Louie,https://www.ratemyprofessors.com/professor/2051072,QUALITY,4.9,27 ratings,Mathematics,Emory University,"94%
would take again",94%,"3
level of difficulty",3,4.9
Maria Fernandez-Santos,https://www.ratemyprofessors.com/professor/2051085,QUALITY,4.4,7 ratings,Spanish,Emory University,"50%
would take again",50%,"2.5
level of difficulty",2.5,4.4
Hazem Ziada,https://www.ratemyprofessors.com/professor/2051594,QUALITY,,1 ratings,Art History,Emory University,"0%
would take again",0%,"4
level of difficulty",4,1
Melissa Pinto,https://www.ratemyprofessors.com/professor/2051825,QUALITY,,4 ratings,Nursing,Emory University,"67%
would take again",67%,"3
level of difficulty",3,2.8
Melissa Pirkey,https://www.ratemyprofessors.com/professor/2052068,QUALITY,4.2,17 ratings,Sociology,Emory University,"70%
would take again",70%,"2.6
level of difficulty",2.6,4.2
Victor Manuel Aricheta,https://www.ratemyprofessors.com/professor/2052951,QUALITY,5,3 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,5
Jack McDowell,https://www.ratemyprofessors.com/professor/2055825,QUALITY,,3 ratings,Psychology,Emory University,"34%
would take again",34%,"3
level of difficulty",3,3.7
Christopher Moller,https://www.ratemyprofessors.com/professor/2056085,QUALITY,4,1 ratings,French,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,4
Abidemi Fasanmi,https://www.ratemyprofessors.com/professor/2057227,QUALITY,,0 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Ingrid Meintjes,https://www.ratemyprofessors.com/professor/2057228,QUALITY,5,3 ratings,Women's Studies,Emory University,"100%
would take again",100%,"1.7
level of difficulty",1.7,5
Johanne Ingrid,https://www.ratemyprofessors.com/professor/2057233,QUALITY,,0 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Vincent  Cornell,https://www.ratemyprofessors.com/professor/2057423,QUALITY,4.3,5 ratings,Humanities,Emory University,"75%
would take again",75%,"2.4
level of difficulty",2.4,4.3
Vernon Robbins,https://www.ratemyprofessors.com/professor/2057693,QUALITY,,3 ratings,Religion,Emory University,"50%
would take again",50%,"2.7
level of difficulty",2.7,2.3
Monica Kiewit,https://www.ratemyprofessors.com/professor/2059816,QUALITY,4.5,1 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,4.5
Martin Riu,https://www.ratemyprofessors.com/professor/2059817,QUALITY,5,1 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,5
William Ransom,https://www.ratemyprofessors.com/professor/2060859,QUALITY,5,1 ratings,Music,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,5
George Gordon-Smith,https://www.ratemyprofessors.com/professor/2061842,QUALITY,4.3,7 ratings,English,Emory University,"100%
would take again",100%,"2
level of difficulty",2,4.3
Jessica Thompson,https://www.ratemyprofessors.com/professor/2062685,QUALITY,4,19 ratings,Anthropology,Emory University,"74%
would take again",74%,"2.3
level of difficulty",2.3,4
Robert Martin,https://www.ratemyprofessors.com/professor/2063068,QUALITY,,1 ratings,Geology,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4,3
Kevin Lucas,https://www.ratemyprofessors.com/professor/2064511,QUALITY,4.8,4 ratings,Literature,Emory University,"100%
would take again",100%,"1.8
level of difficulty",1.8,4.8
Angel Martin,https://www.ratemyprofessors.com/professor/2068670,QUALITY,5,1 ratings,Spanish,Emory University,"100%
would take again",100%,"3
level of difficulty",3,5
David Borthwick,https://www.ratemyprofessors.com/professor/2036789,QUALITY,4.5,1 ratings,Mathematics,Emory University,"100%
would take again",100%,"4
level of difficulty",4,4.5
Juan Rubio-Ramirez,https://www.ratemyprofessors.com/professor/2051075,QUALITY,,8 ratings,Economics,Emory University,"50%
would take again",50%,"3.3
level of difficulty",3.3,3
Daniel Dilks,https://www.ratemyprofessors.com/professor/2057120,QUALITY,4,17 ratings,Psychology,Emory University,"67%
would take again",67%,"3.2
level of difficulty",3.2,4
Eyal Tamir,https://www.ratemyprofessors.com/professor/2071836,QUALITY,4.8,4 ratings,Languages,Emory University,"100%
would take again",100%,"2.5
level of difficulty",2.5,4.8
Bonna Wescoat,https://www.ratemyprofessors.com/professor/2077913,QUALITY,4.7,3 ratings,Art History,Emory University,"100%
would take again",100%,"3
level of difficulty",3,4.7
Maria  Arbatskaya,https://www.ratemyprofessors.com/professor/2077915,QUALITY,,4 ratings,Economics,Emory University,"60%
would take again",60%,"3.5
level of difficulty",3.5,3.3
Rebecca Roberts,https://www.ratemyprofessors.com/professor/2130045,QUALITY,4,1 ratings,Mathematics,Emory University,"100%
would take again",100%,"3
level of difficulty",3,4
Vialla Hartfield-Mendez,https://www.ratemyprofessors.com/professor/2130522,QUALITY,4.5,1 ratings,Spanish,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,4.5
Sabino Kornrich,https://www.ratemyprofessors.com/professor/2130654,QUALITY,4,5 ratings,Sociology,Emory University,"75%
would take again",75%,"3.2
level of difficulty",3.2,4
Gregory Martin,https://www.ratemyprofessors.com/professor/2130657,QUALITY,,12 ratings,Political Science,Emory University,"10%
would take again",10%,"4.2
level of difficulty",4.2,1.6
Hanne Blank,https://www.ratemyprofessors.com/professor/2131266,QUALITY,4.3,3 ratings,Women's Studies,Emory University,"50%
would take again",50%,"4
level of difficulty",4,4.3
James Kinney,https://www.ratemyprofessors.com/professor/2131268,QUALITY,5,2 ratings,Physical Education,Emory University,"100%
would take again",100%,"3.5
level of difficulty",3.5,5
Rebecca Munson,https://www.ratemyprofessors.com/professor/2132867,QUALITY,,0 ratings,Fine Arts,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Sheila Tschinkel,https://www.ratemyprofessors.com/professor/2134365,QUALITY,,6 ratings,Economics,Emory University,"17%
would take again",17%,"4.7
level of difficulty",4.7,1.8
Benjamin Hertzberg,https://www.ratemyprofessors.com/professor/2093691,QUALITY,4.7,13 ratings,Political Science,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4,4.7
Megan Warnock,https://www.ratemyprofessors.com/professor/2093930,QUALITY,5,1 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,5
Christopher Palazzolo,https://www.ratemyprofessors.com/professor/2094089,QUALITY,,2 ratings,Political Science,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4,3.3
David Ferris,https://www.ratemyprofessors.com/professor/2094601,QUALITY,,4 ratings,Philosophy,Emory University,"34%
would take again",34%,"2.8
level of difficulty",2.8,2.9
Samy Wu,https://www.ratemyprofessors.com/professor/2094606,QUALITY,4,4 ratings,Mathematics,Emory University,"100%
would take again",100%,"2.2
level of difficulty",2.2,4
Ning Yu,https://www.ratemyprofessors.com/professor/2094703,QUALITY,,1 ratings,Economics,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4,3.5
Marlo Starr,https://www.ratemyprofessors.com/professor/2098101,QUALITY,5,1 ratings,English,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,5
Joel Reynolds,https://www.ratemyprofessors.com/professor/2101408,QUALITY,4,1 ratings,Philosophy,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,4
Cory Andrew Labrecque,https://www.ratemyprofessors.com/professor/2104757,QUALITY,4.9,5 ratings,Religion,Emory University,"N/A
would take again",N/A,"3.6
level of difficulty",3.6,4.9
Aaron Graham,https://www.ratemyprofessors.com/professor/2105666,QUALITY,4.5,3 ratings,English,Emory University,"100%
would take again",100%,"3
level of difficulty",3,4.5
Nick Block,https://www.ratemyprofessors.com/professor/2108201,QUALITY,5,1 ratings,Languages,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,5
Tongil Kim,https://www.ratemyprofessors.com/professor/2108557,QUALITY,,3 ratings,Marketing,Emory University,"50%
would take again",50%,"3.3
level of difficulty",3.3,2.7
