professor,Title_URL,rating,numRating,Department,cardschool__schoolsc19lmz2k1,cardfeedback__cardfeedbackitemlq6nix1,cardfeedback__cardfeedbackitemlq6nix13,cardfeedback__cardfeedbackitemlq6nix14,cardfeedback__cardfeedbackitemlq6nix15
Lobsang Negi,https://www.ratemyprofessors.com/professor/1856959,3.8,5 ratings,Religion,Emory University,"80%
would take again",80%,"2
level of difficulty",2
Sarah Calcutt,https://www.ratemyprofessors.com/professor/1862937,1,2 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5
Erin Suzuki,https://www.ratemyprofessors.com/professor/1867111,4.8,2 ratings,English,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5
Malachi Black,https://www.ratemyprofessors.com/professor/1867487,4.3,6 ratings,English,Emory University,"N/A
would take again",N/A,"3.2
level of difficulty",3.2
William Ekins,https://www.ratemyprofessors.com/professor/1867793,4.3,2 ratings,Economics,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Dalia Judovitz,https://www.ratemyprofessors.com/professor/1867908,4,2 ratings,French,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4
Rhiannon Evangelista,https://www.ratemyprofessors.com/professor/1868192,3.3,9 ratings,History,Emory University,"100%
would take again",100%,"2.6
level of difficulty",2.6
Ellen Anderson,https://www.ratemyprofessors.com/professor/1869723,4.5,5 ratings,Philosophy,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Ashlee Bledsoe,https://www.ratemyprofessors.com/professor/1870642,3.4,12 ratings,Sociology,Emory University,"82%
would take again",82%,"2.3
level of difficulty",2.3
Melvin Rogers,https://www.ratemyprofessors.com/professor/1870897,3.3,2 ratings,Philosophy,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4
Natasha Trethewey,https://www.ratemyprofessors.com/professor/1871310,4.9,4 ratings,English,Emory University,"100%
would take again",100%,"2.5
level of difficulty",2.5
Cody Smith,https://www.ratemyprofessors.com/professor/1872497,4.5,1 ratings,Biology,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Oliver Randall,https://www.ratemyprofessors.com/professor/1854450,3.7,28 ratings,Business,Emory University,"79%
would take again",79%,"3.4
level of difficulty",3.4
Sarah Stein,https://www.ratemyprofessors.com/professor/1854460,5,1 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Brian Campbell,https://www.ratemyprofessors.com/professor/1854464,5,1 ratings,Geology,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Dorothea Coblentz,https://www.ratemyprofessors.com/professor/1867588,4.9,7 ratings,English,Emory University,"100%
would take again",100%,"1.8
level of difficulty",1.8
Susan Gagliardi,https://www.ratemyprofessors.com/professor/1873991,3.5,7 ratings,Art History,Emory University,"75%
would take again",75%,"4
level of difficulty",4
Kristin Mann,https://www.ratemyprofessors.com/professor/1874589,4.5,4 ratings,History,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5
Nagueyalti Warren,https://www.ratemyprofessors.com/professor/1875382,2.4,11 ratings,Ethnic Studies,Emory University,"75%
would take again",75%,"3.7
level of difficulty",3.7
Laura Finzi,https://www.ratemyprofessors.com/professor/1876863,1.3,14 ratings,Physics,Emory University,"100%
would take again",100%,"4.1
level of difficulty",4.1
Khalid Salaita,https://www.ratemyprofessors.com/professor/1877728,3.3,15 ratings,Chemistry,Emory University,"67%
would take again",67%,"4.1
level of difficulty",4.1
Perry Guevera,https://www.ratemyprofessors.com/professor/1880323,5,1 ratings,English,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Kris Knisely,https://www.ratemyprofessors.com/professor/1880744,5,4 ratings,French,Emory University,"N/A
would take again",N/A,"1.8
level of difficulty",1.8
Suresh Venapally,https://www.ratemyprofessors.com/professor/1884840,4.3,3 ratings,Mathematics,Emory University,"100%
would take again",100%,"2.3
level of difficulty",2.3
Kevin Young,https://www.ratemyprofessors.com/professor/1884842,3.5,2 ratings,English,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Esther Simons Weinberg,https://www.ratemyprofessors.com/professor/1885354,5,2 ratings,Languages,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Charlie Michael,https://www.ratemyprofessors.com/professor/1885876,4.5,6 ratings,Film & Media Studies,Emory University,"80%
would take again",80%,"2.8
level of difficulty",2.8
Eriko Nishizawa,https://www.ratemyprofessors.com/professor/1885957,5,7 ratings,Languages,Emory University,"100%
would take again",100%,"2.4
level of difficulty",2.4
Robyn Banton,https://www.ratemyprofessors.com/professor/1932754,4,2 ratings,French,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5
Manish Tripathi,https://www.ratemyprofessors.com/professor/1934169,4.3,3 ratings,Business,Emory University,"N/A
would take again",N/A,"2.7
level of difficulty",2.7
Robert Torre,https://www.ratemyprofessors.com/professor/1938478,4.5,3 ratings,Music,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Gordon Streeb,https://www.ratemyprofessors.com/professor/1939150,3.1,7 ratings,Economics,Emory University,"60%
would take again",60%,"2.7
level of difficulty",2.7
Benjamin Tovrog,https://www.ratemyprofessors.com/professor/1940152,3.4,15 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5
Amanda Clemm,https://www.ratemyprofessors.com/professor/1941436,3.8,2 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5
Leslie Harris,https://www.ratemyprofessors.com/professor/1942145,4,1 ratings,History,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Sarah Richards,https://www.ratemyprofessors.com/professor/1943339,4,4 ratings,History,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3
Shozo Yokoyama,https://www.ratemyprofessors.com/professor/1906149,2,5 ratings,Biology,Emory University,"0%
would take again",0%,"4.2
level of difficulty",4.2
Patricia Marsteller,https://www.ratemyprofessors.com/professor/1906463,2,11 ratings,Biology,Emory University,"50%
would take again",50%,"1.8
level of difficulty",1.8
William Black,https://www.ratemyprofessors.com/professor/1908105,1.6,9 ratings,Accounting,Emory University,"N/A
would take again",N/A,"3.9
level of difficulty",3.9
Jessica Fuller,https://www.ratemyprofessors.com/professor/1910499,4.5,3 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3
Thomas Abelew,https://www.ratemyprofessors.com/professor/1911016,0,0 ratings,Medicine,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Elena Conis,https://www.ratemyprofessors.com/professor/1919560,4.8,2 ratings,History,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4
Reginald Little,https://www.ratemyprofessors.com/professor/1920574,1.3,12 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"4.3
level of difficulty",4.3
Sarah Uh,https://www.ratemyprofessors.com/professor/1921887,0,0 ratings,Economics,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Gina Gallois,https://www.ratemyprofessors.com/professor/1923867,4,2 ratings,Health Science,Emory University,"100%
would take again",100%,"3
level of difficulty",3
Margarita Zabelina,https://www.ratemyprofessors.com/professor/1925148,5,3 ratings,Economics,Emory University,"N/A
would take again",N/A,"1.3
level of difficulty",1.3
James Rosenfeld,https://www.ratemyprofessors.com/professor/1927891,4.9,3 ratings,Finance,Emory University,"100%
would take again",100%,"3.3
level of difficulty",3.3
Melissa Hackman,https://www.ratemyprofessors.com/professor/1930454,4.3,2 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"1.5
level of difficulty",1.5
Ryan Cook,https://www.ratemyprofessors.com/professor/1931387,2.9,10 ratings,Film,Emory University,"43%
would take again",43%,"2.5
level of difficulty",2.5
Robert Lee,https://www.ratemyprofessors.com/professor/1931454,0,0 ratings,Accounting,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Rizvana Bradley,https://www.ratemyprofessors.com/professor/1931961,4.8,5 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"3.4
level of difficulty",3.4
Robert Wyttenbach,https://www.ratemyprofessors.com/professor/1945502,3.3,7 ratings,Science,Emory University,"50%
would take again",50%,"2.5
level of difficulty",2.5
Eilaf Ahmed,https://www.ratemyprofessors.com/professor/1948763,2.5,5 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"4.4
level of difficulty",4.4
Tze-Yin Teo,https://www.ratemyprofessors.com/professor/1948931,0,0 ratings,Theater,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Ke Wu,https://www.ratemyprofessors.com/professor/1953573,4.7,3 ratings,Economics,Emory University,"N/A
would take again",N/A,"1.3
level of difficulty",1.3
Mika Yamaguchi,https://www.ratemyprofessors.com/professor/1955040,5,2 ratings,Languages,Emory University,"N/A
would take again",N/A,"1.5
level of difficulty",1.5
Benjamin Krakauer,https://www.ratemyprofessors.com/professor/1956111,2.5,1 ratings,Music,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Leandro Gryngarten,https://www.ratemyprofessors.com/professor/1959174,2.3,2 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5
Leigh  Allen,https://www.ratemyprofessors.com/professor/1961156,3.9,6 ratings,French,Emory University,"100%
would take again",100%,"3.2
level of difficulty",3.2
Roshni Patel,https://www.ratemyprofessors.com/professor/1961687,4,2 ratings,Philosophy,Emory University,"100%
would take again",100%,"3.5
level of difficulty",3.5
Gloria Jirsaraie,https://www.ratemyprofessors.com/professor/1962279,3.8,2 ratings,English,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5
Dennis Goginsky,https://www.ratemyprofessors.com/professor/1962441,4.3,2 ratings,Business,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5
Jonathan prude,https://www.ratemyprofessors.com/professor/1965041,4.7,8 ratings,History,Emory University,"100%
would take again",100%,"3
level of difficulty",3
Dennis Liotta,https://www.ratemyprofessors.com/professor/1967197,3.4,8 ratings,Chemistry,Emory University,"70%
would take again",70%,"3.6
level of difficulty",3.6
Donald Verene,https://www.ratemyprofessors.com/professor/1968396,4.4,14 ratings,Philosophy,Emory University,"80%
would take again",80%,"1.8
level of difficulty",1.8
Claire Laville,https://www.ratemyprofessors.com/professor/1969660,3.3,2 ratings,English,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5
Paul Hooper,https://www.ratemyprofessors.com/professor/1969902,4.9,8 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Daniel LaChance,https://www.ratemyprofessors.com/professor/1971179,4.4,9 ratings,History,Emory University,"86%
would take again",86%,"3.1
level of difficulty",3.1
Cengiz Günay,https://www.ratemyprofessors.com/professor/2000090,0,0 ratings,Computer Science,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Aubrey Graham,https://www.ratemyprofessors.com/professor/2000793,5,4 ratings,Anthropology,Emory University,"100%
would take again",100%,"2
level of difficulty",2
Cameron Lee,https://www.ratemyprofessors.com/professor/2002062,2.3,10 ratings,Business,Emory University,"0%
would take again",0%,"3
level of difficulty",3
Tressie  Cottom,https://www.ratemyprofessors.com/professor/2004306,4.8,2 ratings,Sociology,Emory University,"100%
would take again",100%,"2
level of difficulty",2
Rahimjon Abdugafurov,https://www.ratemyprofessors.com/professor/2004494,5,1 ratings,Languages,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Stephen Crist,https://www.ratemyprofessors.com/professor/2004937,5,4 ratings,Music,Emory University,"100%
would take again",100%,"2.3
level of difficulty",2.3
Michael Berger ,https://www.ratemyprofessors.com/professor/2006240,4.7,10 ratings,Religion,Emory University,"100%
would take again",100%,"3.1
level of difficulty",3.1
Candela Manfredi,https://www.ratemyprofessors.com/professor/2006829,0,0 ratings,Biology,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Philippe  Rochat,https://www.ratemyprofessors.com/professor/1976763,4.2,3 ratings,Psychology,Emory University,"100%
would take again",100%,"3.7
level of difficulty",3.7
Ashley Watts,https://www.ratemyprofessors.com/professor/1977288,5,4 ratings,Psychology,Emory University,"100%
would take again",100%,"3.8
level of difficulty",3.8
Alison Heslin,https://www.ratemyprofessors.com/professor/1978421,4.5,3 ratings,Sociology,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3
David  Jacho-Chavez,https://www.ratemyprofessors.com/professor/1978907,3,7 ratings,Economics,Emory University,"58%
would take again",58%,"4
level of difficulty",4
Natasha Bryant,https://www.ratemyprofessors.com/professor/1980151,0,0 ratings,Sociology,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Bruce Levin,https://www.ratemyprofessors.com/professor/1981205,2,6 ratings,Biology,Emory University,"67%
would take again",67%,"4
level of difficulty",4
Anca Doloc-Mihu,https://www.ratemyprofessors.com/professor/1982455,3.6,16 ratings,Computer Science,Emory University,"72%
would take again",72%,"3.4
level of difficulty",3.4
Stefan Boettcher,https://www.ratemyprofessors.com/professor/1982764,4,1 ratings,Physics,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Benjamin Jordan,https://www.ratemyprofessors.com/professor/1986482,1,1 ratings,Business,Emory University,"0%
would take again",0%,"1
level of difficulty",1
Edouard Wemy,https://www.ratemyprofessors.com/professor/1987240,3.1,11 ratings,Economics,Emory University,"100%
would take again",100%,"3.5
level of difficulty",3.5
David Jenkins,https://www.ratemyprofessors.com/professor/1988257,0,0 ratings,Religion,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Emily Leithauser,https://www.ratemyprofessors.com/professor/1988307,4.6,4 ratings,English,Emory University,"100%
would take again",100%,"2.5
level of difficulty",2.5
Hayk Harutyunyan,https://www.ratemyprofessors.com/professor/1989821,2.3,3 ratings,Physics,Emory University,"34%
would take again",34%,"3
level of difficulty",3
Dustin Cicero,https://www.ratemyprofessors.com/professor/1993119,0,0 ratings,Music,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Eric Choi,https://www.ratemyprofessors.com/professor/1995860,3.9,11 ratings,Mathematics,Emory University,"50%
would take again",50%,"2.9
level of difficulty",2.9
Tianlei Xu,https://www.ratemyprofessors.com/professor/1999313,5,1 ratings,Computer Science,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Lisa Paulsen,https://www.ratemyprofessors.com/professor/2023764,5,3 ratings,Theater,Emory University,"100%
would take again",100%,"1.3
level of difficulty",1.3
Shanna Early,https://www.ratemyprofessors.com/professor/2025470,2,1 ratings,English,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4
María Carrión,https://www.ratemyprofessors.com/professor/2026098,3,5 ratings,Spanish,Emory University,"67%
would take again",67%,"3.2
level of difficulty",3.2
Shlomit Finkelstein,https://www.ratemyprofessors.com/professor/2027251,4.5,1 ratings,Psychology,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Susan White,https://www.ratemyprofessors.com/professor/2027952,0,0 ratings,Writing,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Paul Spearman,https://www.ratemyprofessors.com/professor/2032609,0,0 ratings,Medicine,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Tanine Allison,https://www.ratemyprofessors.com/professor/2034637,4.3,5 ratings,Film,Emory University,"100%
would take again",100%,"2.8
level of difficulty",2.8
Natalie Merrill,https://www.ratemyprofessors.com/professor/2040567,5,1 ratings,Psychology,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Jehu Hanciles,https://www.ratemyprofessors.com/professor/2041299,1,1 ratings,Religion,Emory University,"0%
would take again",0%,"4
level of difficulty",4
Shel Swenson,https://www.ratemyprofessors.com/professor/2046380,2.5,18 ratings,Mathematics,Emory University,"31%
would take again",31%,"3.2
level of difficulty",3.2
Elena Cholakova,https://www.ratemyprofessors.com/professor/2049821,5,3 ratings,Music,Emory University,"100%
would take again",100%,"2.3
level of difficulty",2.3
Allison Louie,https://www.ratemyprofessors.com/professor/2051072,4.9,27 ratings,Mathematics,Emory University,"94%
would take again",94%,"3
level of difficulty",3
Maria Fernandez-Santos,https://www.ratemyprofessors.com/professor/2051085,4.4,7 ratings,Spanish,Emory University,"50%
would take again",50%,"2.5
level of difficulty",2.5
Hazem Ziada,https://www.ratemyprofessors.com/professor/2051594,1,1 ratings,Art History,Emory University,"0%
would take again",0%,"4
level of difficulty",4
Melissa Pinto,https://www.ratemyprofessors.com/professor/2051825,2.8,4 ratings,Nursing,Emory University,"67%
would take again",67%,"3
level of difficulty",3
Melissa Pirkey,https://www.ratemyprofessors.com/professor/2052068,4.2,17 ratings,Sociology,Emory University,"70%
would take again",70%,"2.6
level of difficulty",2.6
Victor Manuel Aricheta,https://www.ratemyprofessors.com/professor/2052951,5,3 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Jack McDowell,https://www.ratemyprofessors.com/professor/2055825,3.7,3 ratings,Psychology,Emory University,"34%
would take again",34%,"3
level of difficulty",3
Christopher Moller,https://www.ratemyprofessors.com/professor/2056085,4,1 ratings,French,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Abidemi Fasanmi,https://www.ratemyprofessors.com/professor/2057227,0,0 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Ingrid Meintjes,https://www.ratemyprofessors.com/professor/2057228,5,3 ratings,Women's Studies,Emory University,"100%
would take again",100%,"1.7
level of difficulty",1.7
Johanne Ingrid,https://www.ratemyprofessors.com/professor/2057233,0,0 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Vincent  Cornell,https://www.ratemyprofessors.com/professor/2057423,4.3,5 ratings,Humanities,Emory University,"75%
would take again",75%,"2.4
level of difficulty",2.4
Vernon Robbins,https://www.ratemyprofessors.com/professor/2057693,2.3,3 ratings,Religion,Emory University,"50%
would take again",50%,"2.7
level of difficulty",2.7
Monica Kiewit,https://www.ratemyprofessors.com/professor/2059816,4.5,1 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Martin Riu,https://www.ratemyprofessors.com/professor/2059817,5,1 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
William Ransom,https://www.ratemyprofessors.com/professor/2060859,5,1 ratings,Music,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
George Gordon-Smith,https://www.ratemyprofessors.com/professor/2061842,4.3,7 ratings,English,Emory University,"100%
would take again",100%,"2
level of difficulty",2
Jessica Thompson,https://www.ratemyprofessors.com/professor/2062685,4,19 ratings,Anthropology,Emory University,"74%
would take again",74%,"2.3
level of difficulty",2.3
Robert Martin,https://www.ratemyprofessors.com/professor/2063068,3,1 ratings,Geology,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4
Kevin Lucas,https://www.ratemyprofessors.com/professor/2064511,4.8,4 ratings,Literature,Emory University,"100%
would take again",100%,"1.8
level of difficulty",1.8
Angel Martin,https://www.ratemyprofessors.com/professor/2068670,5,1 ratings,Spanish,Emory University,"100%
would take again",100%,"3
level of difficulty",3
David Borthwick,https://www.ratemyprofessors.com/professor/2036789,4.5,1 ratings,Mathematics,Emory University,"100%
would take again",100%,"4
level of difficulty",4
Juan Rubio-Ramirez,https://www.ratemyprofessors.com/professor/2051075,3,8 ratings,Economics,Emory University,"50%
would take again",50%,"3.3
level of difficulty",3.3
Daniel Dilks,https://www.ratemyprofessors.com/professor/2057120,4,17 ratings,Psychology,Emory University,"67%
would take again",67%,"3.2
level of difficulty",3.2
Eyal Tamir,https://www.ratemyprofessors.com/professor/2071836,4.8,4 ratings,Languages,Emory University,"100%
would take again",100%,"2.5
level of difficulty",2.5
Bonna Wescoat,https://www.ratemyprofessors.com/professor/2077913,4.7,3 ratings,Art History,Emory University,"100%
would take again",100%,"3
level of difficulty",3
Maria  Arbatskaya,https://www.ratemyprofessors.com/professor/2077915,3.3,4 ratings,Economics,Emory University,"60%
would take again",60%,"3.5
level of difficulty",3.5
Rebecca Roberts,https://www.ratemyprofessors.com/professor/2130045,4,1 ratings,Mathematics,Emory University,"100%
would take again",100%,"3
level of difficulty",3
Vialla Hartfield-Mendez,https://www.ratemyprofessors.com/professor/2130522,4.5,1 ratings,Spanish,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Sabino Kornrich,https://www.ratemyprofessors.com/professor/2130654,4,5 ratings,Sociology,Emory University,"75%
would take again",75%,"3.2
level of difficulty",3.2
Gregory Martin,https://www.ratemyprofessors.com/professor/2130657,1.6,12 ratings,Political Science,Emory University,"10%
would take again",10%,"4.2
level of difficulty",4.2
Hanne Blank,https://www.ratemyprofessors.com/professor/2131266,4.3,3 ratings,Women's Studies,Emory University,"50%
would take again",50%,"4
level of difficulty",4
James Kinney,https://www.ratemyprofessors.com/professor/2131268,5,2 ratings,Physical Education,Emory University,"100%
would take again",100%,"3.5
level of difficulty",3.5
Rebecca Munson,https://www.ratemyprofessors.com/professor/2132867,0,0 ratings,Fine Arts,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Sheila Tschinkel,https://www.ratemyprofessors.com/professor/2134365,1.8,6 ratings,Economics,Emory University,"17%
would take again",17%,"4.7
level of difficulty",4.7
Benjamin Hertzberg,https://www.ratemyprofessors.com/professor/2093691,4.7,13 ratings,Political Science,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4
Megan Warnock,https://www.ratemyprofessors.com/professor/2093930,5,1 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Christopher Palazzolo,https://www.ratemyprofessors.com/professor/2094089,3.3,2 ratings,Political Science,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4
David Ferris,https://www.ratemyprofessors.com/professor/2094601,2.9,4 ratings,Philosophy,Emory University,"34%
would take again",34%,"2.8
level of difficulty",2.8
Samy Wu,https://www.ratemyprofessors.com/professor/2094606,4,4 ratings,Mathematics,Emory University,"100%
would take again",100%,"2.2
level of difficulty",2.2
Ning Yu,https://www.ratemyprofessors.com/professor/2094703,3.5,1 ratings,Economics,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4
Marlo Starr,https://www.ratemyprofessors.com/professor/2098101,5,1 ratings,English,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Joel Reynolds,https://www.ratemyprofessors.com/professor/2101408,4,1 ratings,Philosophy,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Cory Andrew Labrecque,https://www.ratemyprofessors.com/professor/2104757,4.9,5 ratings,Religion,Emory University,"N/A
would take again",N/A,"3.6
level of difficulty",3.6
Aaron Graham,https://www.ratemyprofessors.com/professor/2105666,4.5,3 ratings,English,Emory University,"100%
would take again",100%,"3
level of difficulty",3
Nick Block,https://www.ratemyprofessors.com/professor/2108201,5,1 ratings,Languages,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Tongil Kim,https://www.ratemyprofessors.com/professor/2108557,2.7,3 ratings,Marketing,Emory University,"50%
would take again",50%,"3.3
level of difficulty",3.3
Hilary Gopnik,https://www.ratemyprofessors.com/professor/2109113,4.2,3 ratings,Anthropology,Emory University,"0%
would take again",0%,"2.3
level of difficulty",2.3
Patrick Oates,https://www.ratemyprofessors.com/professor/2109422,0,0 ratings,Physical Education,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Phillip Thompson,https://www.ratemyprofessors.com/professor/2112955,3,1 ratings,Religion,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Aaron Shepherd,https://www.ratemyprofessors.com/professor/2113146,5,3 ratings,Philosophy,Emory University,"100%
would take again",100%,"2.3
level of difficulty",2.3
Roselyne Gerazime,https://www.ratemyprofessors.com/professor/2166004,5,2 ratings,French,Emory University,"100%
would take again",100%,"2.5
level of difficulty",2.5
Tzvetana Rakovski,https://www.ratemyprofessors.com/professor/2166956,1,4 ratings,Economics,Emory University,"0%
would take again",0%,"2.7
level of difficulty",2.7
Sally Radell,https://www.ratemyprofessors.com/professor/2171340,4,4 ratings,Fine Arts,Emory University,"75%
would take again",75%,"2
level of difficulty",2
Paul Bruno,https://www.ratemyprofessors.com/professor/2171706,3.6,10 ratings,Mathematics,Emory University,"60%
would take again",60%,"3.1
level of difficulty",3.1
Kevin Corrigan,https://www.ratemyprofessors.com/professor/2172001,4.5,4 ratings,Humanities,Emory University,"100%
would take again",100%,"1
level of difficulty",1
Hilary King,https://www.ratemyprofessors.com/professor/2176096,3,2 ratings,Anthropology,Emory University,"0%
would take again",0%,"3
level of difficulty",3
Zachary Bowersox,https://www.ratemyprofessors.com/professor/2177189,4.5,10 ratings,Political Science,Emory University,"100%
would take again",100%,"2.6
level of difficulty",2.6
Bradley Elliott,https://www.ratemyprofessors.com/professor/2178070,4.6,11 ratings,Mathematics,Emory University,"91%
would take again",91%,"3.2
level of difficulty",3.2
Rebecca McGlynn,https://www.ratemyprofessors.com/professor/2182173,3.7,3 ratings,English,Emory University,"67%
would take again",67%,"3.3
level of difficulty",3.3
Rachel Parrish,https://www.ratemyprofessors.com/professor/2183018,3,1 ratings,Theater,Emory University,"0%
would take again",0%,"3
level of difficulty",3
Madelyn Houser,https://www.ratemyprofessors.com/professor/2187557,5,2 ratings,Biology,Emory University,"100%
would take again",100%,"2.5
level of difficulty",2.5
Alyssa Duck,https://www.ratemyprofessors.com/professor/2188142,4.2,6 ratings,English,Emory University,"84%
would take again",84%,"3.7
level of difficulty",3.7
Chris Koczor,https://www.ratemyprofessors.com/professor/2188943,0,0 ratings,Biology,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Demetrius Lewis,https://www.ratemyprofessors.com/professor/2191407,1,1 ratings,Business,Emory University,"0%
would take again",0%,"5
level of difficulty",5
Michelle Schreiber,https://www.ratemyprofessors.com/professor/2191946,4.7,3 ratings,Film,Emory University,"100%
would take again",100%,"2.3
level of difficulty",2.3
Eilaf Egap,https://www.ratemyprofessors.com/professor/2192438,3,2 ratings,Chemistry,Emory University,"0%
would take again",0%,"3.5
level of difficulty",3.5
Garth Tissol,https://www.ratemyprofessors.com/professor/2139987,4.8,5 ratings,Languages,Emory University,"100%
would take again",100%,"3.2
level of difficulty",3.2
Zainab Delawalla,https://www.ratemyprofessors.com/professor/2140290,3.3,13 ratings,Psychology,Emory University,"62%
would take again",62%,"3.2
level of difficulty",3.2
Scott Kugle,https://www.ratemyprofessors.com/professor/2140684,5,2 ratings,Middle Eastern Studies,Emory University,"100%
would take again",100%,"4
level of difficulty",4
Marion Creekmore Jr,https://www.ratemyprofessors.com/professor/2140687,5,1 ratings,Political Science,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
John Duncan,https://www.ratemyprofessors.com/professor/2143420,4.2,5 ratings,Mathematics,Emory University,"75%
would take again",75%,"3.6
level of difficulty",3.6
Irem Ebeturk,https://www.ratemyprofessors.com/professor/2144442,5,3 ratings,Sociology,Emory University,"100%
would take again",100%,"2.3
level of difficulty",2.3
Benjamin Clary,https://www.ratemyprofessors.com/professor/2146301,0,0 ratings,Literature,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Danielle Jung,https://www.ratemyprofessors.com/professor/2148215,4.6,7 ratings,Political Science,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4
Cassidy Puckett,https://www.ratemyprofessors.com/professor/2205209,3.2,17 ratings,Sociology,Emory University,"48%
would take again",48%,"3.1
level of difficulty",3.1
Osman Nemli,https://www.ratemyprofessors.com/professor/2205234,4.7,6 ratings,Philosophy,Emory University,"100%
would take again",100%,"3.2
level of difficulty",3.2
Seth Goss,https://www.ratemyprofessors.com/professor/2205640,2.3,7 ratings,Languages,Emory University,"56%
would take again",56%,"3.1
level of difficulty",3.1
Madison Elkins,https://www.ratemyprofessors.com/professor/2206314,5,2 ratings,English,Emory University,"100%
would take again",100%,"2.5
level of difficulty",2.5
Nauzet Alvarado,https://www.ratemyprofessors.com/professor/2208111,5,1 ratings,Spanish,Emory University,"100%
would take again",100%,"2
level of difficulty",2
