,Class Number,Class title
1587,ECON 791H,Dissertation Workshop II
1588,ECON 797R,Tutorial in Economics Scientific Wrt.Acad.Publish.
1589,ECON 799R,Dissertation Research
1590,ECS 100,Peer Mentoring and Leadership
1591,ECS 102,The Liberal Arts Edge
1592,ECS 110,Living and Learning Seminar Sustainability Leadership
1593,ECS 300R,Honor Council Practicum
1594,ECS 400R,Honor Council Advanced Practicum
1595,ECS 491,Ethics and Leadership
1596,EH 500,PerspectivesEnvironmental Health
1597,EH 510,Foundations of Exposure Science
1598,EH 515,Air Quality in the Urban Environment A Survey of Research Methods and Recent Findings
1599,EH 523,Neurotoxicology
1600,EH 527,Biomarkers and Environmental Public Health
1601,EH 530,Environmental and Occupational Epidemiology
1602,EH 548,Research Methods for Studies of Water and Health
1603,EH 570,Environmental Health Law and Policy
1604,EH 571,"Global Environmental Health Policy Power, Science and Justice"
1605,EH 572,Environmental Justice Theory and Public Health Practice
1606,EH 583,Spatial Analysis in Disease Ecology
1607,EH 586,Adv. Sem in Climate Change and Health Research and Policy
1608,EH 587,Intro.to Satellite Remote Sensing of the Environment and its Applications in PH
1609,EH 587L,Introduction to Satellite Remote Sensing of the Environment and its Application to Public Health Lab
1610,EH 590R,Environmental Health Seminar EH Seminar Initiation and Mngmnt of Resrch Prjcts
1611,EH 590R,Environmental Health Seminar Planetary Health
1612,EH 590R,Environmental Health Seminar Politics of Public Health
1613,EH 593R,Data Analysis in Envt Health
1614,EH 594,Capstone Seminar Skills for Environmental Health Professionals
1615,EH 595,Applied Practice Experience
1616,EH 597R,Directed Study
1617,EH 599R,Thesis
1618,EHS 600R,Research Rotation
1619,EHS 710,Advanced Laboratory and Field Methods in Exposure Science
1620,EHS 740,Molecular Toxicology
1621,EHS 750,Environmental Determinants of Infectious Disease
1622,EHS 760,Advanced Risk Assessment
1623,EHS 790R,Research Design and Management
1624,EHS 798R,Pre-candidacy Research
1625,EHS 799R,Dissertation Research
1626,ELSP 502,Fluency Building I
1627,ELSP 511,ESL 511 Fundamentals of Graduate Writing II
1628,ELSP 515,Communication Skills for Intermediate Speakers II
1629,ELSP 518,Communication Skills for Advanced Speakers II
1630,ELSP 530R,Laboratory in Professional Communication
1631,ENG 101,Expository Writing
1632,ENG 123R,Communicative Grammar
1633,ENG 150,Great Works of Literature
1634,ENG 181,Writing About Literature
1635,ENG 190,Freshman SeminarEnglish Imagining Ireland
1636,ENG 201W,Multimedia Journalism
1637,ENG 205,Poetry
1638,ENG 210W,Major Authors
1639,ENG 211W,Literature and the Arts
1640,ENG 212W,Readings In Pop LiteratureCulture
1641,ENG 214,Global Literature in English
1642,ENG 214W,Global Literature In English
1643,ENG 216,History of Drama & Theater II
1644,ENG 223,Rhetorical Grammar
1645,ENG 251,American Literature 1865 to Present
1646,ENG 256W,British Literature Since 1660
1647,ENG 262W,Survey of African-American Literature Since 1900
1648,ENG 302W,Technical Writing
1649,ENG 304W,Chaucer
1650,ENG 308W,Arthurian Literature
1651,ENG 311RW,Shakespeare
1652,ENG 314W,Renaissance Literature 1485-1603
1653,ENG 336W,The English Victorian Novel
1654,ENG 348W,Contemporary Literature
1655,ENG 350W,Early American LitColonial - 1830
1656,ENG 359,Studies in African American Literature 1900 to Present
1657,ENG 366W,Contemporary Drama
1658,ENG 368W,Literature & Cultural Studies
1659,ENG 380W,Topic Writing RhetoricLiteracy Writing for Publication
1660,ENG 380W,Topic Writing RhetoricLiteracy Lit. & Rhet. of Resistance 2
1661,ENG 380W,Topic Writing RhetoricLiteracy BirdbyBirdWriting wAnimals 2
1662,ENG 380W,Topic Writing RhetoricLiteracy Writing Games&InteractiveMedia
1663,ENG 389,Special Topics Literature Af.Am.Lit.and Pop Culture
1664,ENG 389,Special Topics Literature Re-presenting the Past Lit.
1665,ENG 389,Special Topics Literature Feminist Studies of Race
1666,ENG 389,Special Topics Literature Media TheoryInternet Visions
1667,ENG 389W,Special TopicsLiterature
1668,ENG 389W,Special TopicsLiterature Planetary Futures
1669,ENG 389W,Special TopicsLiterature Studies in Genre
1670,ENG 389W,Special TopicsLiterature Intro. to Digital Humanities
1671,ENG 389W,Special TopicsLiterature Methods LiteraryStudy&Research
1672,ENG 389W,Special TopicsLiterature
1673,ENG 397R,Advanced Writing Lab
1674,ENG 399R,Independent Study
1675,ENG 489,Special Topic Adv. Study English Black Women Writers
1676,ENG 489W,Special Top Adv StudyEnglish Imagining Modernity
1677,ENG 495R,Honors Thesis
1678,ENG 496R,Internship In English
1679,ENG 599R,Masters Thesis
1680,ENG 710R,Studies In Renaissance Literature
1681,ENG 732R,Studies In Victorian Literature
1682,ENG 789,Special Topics In Literature
1683,ENG 789,Special Topics In Literature An Aesthetic for Democracy
1684,ENG 789,Special Topics In Literature Literature and Justice Writers on Trial
1685,ENG 789,Special Topics In Literature Introduction to Derrida
1686,ENG 797R,Directed Study
1687,ENG 799R,Doctoral Dissertation
1688,ENGCW 190,Freshman SeminarCreative Writing
1689,ENGCW 271W,Introduction to Poetry Writing
1690,ENGCW 272,Introduction to Fiction Writing
1691,ENGCW 272W,Introduction to Fiction Writing
1692,ENGCW 354,50 Shades Nonfiction Ethics
1693,ENGCW 370RW,Creative Writing Intermediate Fiction
1694,ENGCW 371RW,Creative Writing Intermediate Poetry
1695,ENGCW 373RW,Creative Writing Advanced Fiction
1696,ENGCW 374RW,Creative Writing Advanced Poetry
1697,ENGCW 375RW,Creative Writing Advanced Drama
1698,ENGCW 376RW,Creative Writing Intermediate Non-Fiction
1699,ENGCW 378RW,Screenwriting
1700,ENGCW 379RW,Advanced Screenwriting
1701,ENGCW 397RW,Creative Writing Independent Study
1702,ENGCW 495RW,Creative Writing Honors
1703,ENVS 120,Living in the Anthropocene
1704,ENVS 225,Institutions & The Environment
1705,ENVS 235,Environmental Geology
1706,ENVS 240,Ecosystem Ecology
1707,ENVS 240L,Ecosystem Ecology Lab
1708,ENVS 241,Modern & Ancient Tropical Environments
1709,ENVS 242,Modern & Ancient Tropical Environments Field Course
1710,ENVS 255W,Environmental Communication
1711,ENVS 260,Quantitative Tech in Environ Stdy
1712,ENVS 299R,Fundamentals of ENVS Research
1713,ENVS 328,Introduction to Atmospheric Chemistry
1714,ENVS 330,Climatology
1715,ENVS 331,Earth Systems Science
1716,ENVS 348,Sustainable Water Resources with Lab
1717,ENVS 350W,"Envronmtl Thgt Ethics, Phil. & Issues"
1718,ENVS 352W,Green Business
1719,ENVS 370B,Planning Community Initiatives
1720,ENVS 370L,Planning Comm.Initiatives-Lab
1721,ENVS 371,Ecology of the Tropics
1722,ENVS 372,Ecology of the Tropics Field Course
1723,ENVS 385,Topics Environmental Studies Atmospheric Physics
1724,ENVS 385,"Topics Environmental Studies Energy,Culture,Env.in Africa"
1725,ENVS 386,Special Topics wLab
1726,LAB,Meets
1727,ENVS 386,Special Topics wLab Field Botany w Lab
1728,ENVS 390R,Seminar On Environmental Issues
1729,ENVS 399R,Intro to Independent Research
1730,ENVS 420,Law and Biodiversity
1731,ENVS 483,Spatial Analysis in Disease Ecology
1732,ENVS 485,Special Topics Environmental Mgmt. Capstone
1733,ENVS 491,Service Learning Course In Envs
1734,ENVS 494R,Individual Research in ENVS
1735,ENVS 495A,Honors Research
1736,ENVS 495BW,Honors Research
1737,ENVS 498R,Individual Directed Reading
1738,ENVS 499R,Advanced Independent Research
1739,ENVS 499RW,Advanced Independent Research
1740,ENVS 583,Spatial Analysis in Disease Ecology
1741,ENVS 585,Special Topics in ENVS Atmospheric Physics
1742,ENVS 585,Special Topics in ENVS Law and Biodiversity
1743,ENVS 585,Special Topics in ENVS Intro to Atmospheric Chemistry
1744,ENVS 585,Special Topics in ENVS Strategies for3D Visualization
1745,ENVS 599R,Master's Thesis Research
1746,EPI 504,Fundamentals Of Epidemiology
1747,EPI 504D,Fundamentals Of Epidemiology
1748,EPI 509,Overview of Children with Special Health Care Needs
1749,EPI 523,Correctional Healthcare Epidemiology
1750,EPI 531,Field Epidemiology
1751,EPI 532,Epidemiology of Sexually Transmitted Diseases
1752,EPI 533,Programming In Sas
1753,EPI 535,Designing and Implementing Epidemiologic Studies
1754,EPI 538,Advanced Epi Methods I
1755,EPI 539,Epidemiologic Concepts and Analysis
1756,EPI 540,Epidemiologic Methods II
1757,EPI 541,HospitalHealthcare Epidemiology
1758,EPI 542,Epidemiology of Tuberculosis
1759,EPI 543,Cardiovascular Disease Epidemiology
1760,EPI 545,Advanced Epidemiologic Methods II
1761,EPI 546,HIV Epidemiology
1762,EPI 547,Public Health Applications of Molecular Epidemiology
1763,EPI 552,Human Genome Epidemiology
1764,EPI 558,Global Issues in Antimicrobial Resistance
1765,EPI 559,Advanced Designing and Implementing EPI Studies
1766,EPI 561,Methods in Obesity Epidemiology
1767,EPI 562,Emerging Infectious Diseases
1768,EPI 565,Data Sources and Methods for MCH EPI
1769,EPI 566,Immunization Programs and Policies
1770,EPI 570,Infectious Disease Dynamics Theory and Models
1771,EPI 585,Advanced Topics in Cancer Epidemiology
1772,EPI 590R,EPI Seminar Life Course Epidemiology
1773,EPI 590R,EPI Seminar Crit.Eval.Sci.Comm.Sci.B.News
1774,EPI 590R,EPI Seminar Disease Surveillance
1775,EPI 590R,EPI Seminar MPHMSPH Journal Club
1776,EPI 591S,Social Epidemiology
1777,EPI 594,Advanced Applied Methods in Social Epidemiology
1778,EPI 595,Applied Practice Experience
1779,EPI 596,Maternal Child Health
1780,EPI 596L,MCH Foundations Lab
1781,EPI 597R,Directed Study
1782,EPI 598C,Capstone
1783,EPI 598R,MPH Thesis Research
1784,EPI 599R,Thesis
1785,EPI 730,Epidemiology Grant Writing Course
1786,EPI 731,Analytical Foundations of Epidemiology
1787,EPI 738R,Advanced EPI Methods I
1788,EPI 746,Reproductive Epidemiology
1789,EPI 750,Longitudinal Data
1790,EPI 790R,Doctoral Seminar in Epidemiologic Practice
1791,EPI 798R,Pre-candidacy Research
1792,EPI 799R,Research
1793,ES 501,Christian Ethics
1794,ES 610,"Religion, Ethics, and Public Intellectuals"
1795,ES 624,Feminist & Womanist Ethics
1796,ES 641CEE,Contextual Education Elective Christology & Ethics
1797,ES 649,Psychology of Moral Development & Moral Education
1798,ES 671,Skills in Conflict Transformation I
1799,ES 672,Skills in Conflict Transformation II
1800,ES 674,Approaches to Criminal Justice Ministries
1801,ES 682,Jewish Law
1802,ES 684,First Ammendment Religious Liberty
1803,ES 698,Special Topics in Ethics and Society
1804,ES 698,Special Topics in Ethics and Society Leadership&African Moral Trad.
1805,ES 699,Directed Study
1806,ESL 501,Oral and Written Communication for International Students
1807,EV 501,Enabling An Evangelizing Church
1808,EV 653,World Evangelism in an Age of Empire
1809,EV 697,Evangelism Regional Seminar Sri Lanka
1810,FH 503,Faith and Health Integrative Paper
1811,FILM 106,Photography I
1812,FILM 107,Intro to Digital Video
1813,FILM 190,Freshmen Seminar Film Media Film Noir
1814,FILM 206R,Photography II
1815,FILM 212,Film Producing
1816,FILM 213,Cinematography and Lighting
1817,FILM 270,Introduction To Film
1818,FILM 306R,Advanced Photography
1819,FILM 311,Writing the Short Film
1820,FILM 326,Acting for the Camera
1821,FILM 354,50 Shades Nonfiction Ethics
1822,FILM 355,"Film, Media, and Social Change"
1823,FILM 372,History Of Film Since 1954
1824,FILM 373,"Special Topics in Film Race,Repres. in American Film"
1825,FILM 373,Special Topics in Film Afr. American Film Since 1965
1826,FILM 373,"Special Topics in Film Race, Gender, and Speculation"
1827,FILM 373,Special Topics in Film Film &Environmental Humanities
1828,FILM 375,The Russian Avantgarde
1829,FILM 378RW,Screenwriting
1830,FILM 379RW,Advanced Screenwriting
1831,FILM 382,Contemporary Film & Media Theory
1832,FILM 383W,"Music, Film, and Politics"
1833,FILM 389,Special Topics in Media Transmedia Storytelling
1834,FILM 389,Special Topics in Media Guerilla Political Videography
1835,FILM 389W,Special Topics in Media Ballet Culture. Pleasure&Pain
1836,FILM 393,Documentary Film & Media History
1837,FILM 399R,Internship
1838,FILM 407,Content Creation
1839,FILM 473,Advanced Topics in Film and Media Studies Frank Capra &Columbia in 1930s
1840,FILM 473,Advanced Topics in Film and Media Studies
1841,FILM 495RW,Honors Thesis
1842,FILM 499R,Directed Research
1843,FIN 201,Business Economics
1844,FIN 220,Finance for Non-BBA Students
1845,FIN 320,Corporate Finance
1846,FIN 321,Economics & Finance of Film
1847,FIN 322,IMPACT360 Strategic Valuation
1848,FIN 400,Study Abroad Finance Elective (General Elective)
1849,FIN 401,Study Abroad Finance Elective (Global)
1850,FIN 403,Global Macroeconomic Perspectives
1851,FIN 409,Study Abroad Finance Elective (Related)
1852,FIN 420,Advanced Corporate Finance
1853,FIN 421,Corp. Governance & Firm Value
1854,FIN 422,Advanced Financial Markets
1855,FIN 423,Investments
1856,FIN 425,Real Estate Finance
1857,FIN 426,Bank Mgt. & Financial Services
1858,FIN 427,International Finance
1859,FIN 428,Investment Banking
1860,FIN 428B,Venture Capital & Private Equity
1861,FIN 483,Applied Investment Mgt
1862,FIN 486,Real Estate Equity Investment
1863,FIN 489,Advanced Real Estate Finance
1864,FIN 495,Distressed Investing
1865,FIN 499R,Special Topics Fintech
1866,FIN 501A,Managerial Economics
1867,FIN 503,Global Macroeconomic Perspective
1868,FIN 507,IMPACT360 Healthcare
1869,FIN 520,Managerial Finance
1870,FIN 520A,Managerial Finance
1871,FIN 522,IMPACT360 Strategic Valuation
1872,FIN 526,Financial Intelligence
1873,FIN 527,Financial Markets
1874,FIN 529,Project Finance
1875,FIN 587,IMPACT360 Real Estate
1876,FIN 588,Advanced Managerial Economics and Analytics
1877,FIN 589B,Mergers & Acquisitions
1878,FIN 599R,Special Topics Fintech
1879,FIN 620,Advanced Corporate Finance
1880,FIN 621,Corp. Governance & Firm Value
1881,FIN 624,Derivatives
1882,FIN 625,Real Estate Finance
1883,FIN 626,Bank Mgt. & Financial Services
1884,FIN 627,International Finance
1885,FIN 628,Investment Banking
1886,FIN 681,Venture Capital & Private Equity
1887,FIN 683,Applied Investment Management
1888,FIN 686,Real Estate Equity Investment
1889,FIN 689,Advanced Real Estate Finance
1890,FIN 695,Distressed Investing
1891,FIN 722,Finance Theory I
1892,FIN 725B,Advanced Topics in Finance II
1893,FREN 101,Elementary French I
1894,FREN 102,Elementary French II
1895,FREN 201,Intermediate French
1896,FREN 203,Advanced French
1897,FREN 210,French For Reading Comprehension
1898,FREN 310W,Writing Skills
1899,FREN 313,French and Francophone Culture
1900,FREN 314,What Is Interpretation
1901,FREN 341,Intersections
1902,FREN 351,Media and Genres
1903,FREN 391R,Francophone Studies
1904,FREN 460,French and Francophone Cinema
1905,FREN 488W,Topics in French La Sculpture de Soi
1906,FREN 495BW,Honors
1907,FREN 497R,Individual Directed Research
1908,FREN 597R,Directed Study
1909,FREN 599R,Individualized Research
1910,FREN 775,Tops French Literature Primal Scenes Psychoanalysis
1911,FREN 780,Ideologies of Theory Introduction to Derrida
1912,FREN 780,Ideologies of Theory Thinking&Feeling Mod. France
1913,FREN 799R,Individualized Research
1914,GAH 601A,Research Ethics
1915,GER 102,Elementary German II
1916,GER 190,Freshman Seminar Great German BooksTranslation
1917,GER 190,Freshman Seminar Nostalgia &Alts. in Mod.Jewish
1918,GER 192R,Beginning Conversation
1919,GER 202,Intermediate German II
1920,GER 302W,German Studies II
1921,GER 320,Business German I
1922,GER 375,Spec. Topics in German Studies
1923,GER 392R,German Conversation
1924,GER 470,Topics in German Culture and Civilization Animals in German Literature
1925,GER 475W,TopicsGerman Lit Translation Jewish Assimilation in Germany
1926,GER 495BW,Honors
1927,GER 497R,Directed Study
1928,GH 500,Critical Issues in Global Health
1929,GH 500D,Addressing Key Issues in Global Health
1930,GH 503,Quantitative Data Collection
1931,GH 508,Health and Human Rights Seminar
1932,GH 509,Translation & Implementation Sciences
1933,GH 510,Epidemiological Methods in Humanitarian Emergencies
1934,GH 511,International Infectious Diseases
1935,GH 512,Health in Complex Humanitarian Emergencies
1936,GH 513,Community Based Participatory Action Research
1937,GH 514,Social and Behavioral Change Communications
1938,GH 518,Emerging Infectious Disease
1939,GH 519,Faith and Health Transforming Communities
1940,GH 522,Qualitative Methods for Research in Global Health
1941,GH 524,Health Systems Performance and Financing Methods and Evidence
1942,GH 530,The GEMMA Seminar The Global Elimination of Maternal Mortality from Abortion
1943,GH 531,Mental Health in Complex Humanitarian
1944,GH 534,Diabetes A Model for Global Non-communicable Disease Prevention & Control
1945,GH 535,Field Epidemiology
1946,GH 536,Religion & Health in Context HiV
1947,GH 543,Fundamentals of Qualitative Data Analysis
1948,GH 545,Nutritional Assessment
1949,GH 546,Maternal And Child Nutrition
1950,GH 549,Human Nutrition II
1951,GH 550,Epidemiology and Dynamics of STDs
1952,GH 553,Vision Health A Global Perspective
1953,GH 555,Proposal Development
1954,GH 558,Global Issues in Antimicrobial Resistance
1955,GH 559,Gender and Global Health
1956,GH 560,Monitoring and Evaluating Global Health Programs
1957,GH 562,Tuberculosis
1958,GH 565,Developing Monitoring and Evaluation for Public Health Programs
1959,GH 566,Immunization Programs and Policies
1960,GH 568,Community Engaged Food Security
1961,GH 572,Community Transformation
1962,GH 574,"Malaria Prevention, Control & Treatment"
1963,GH 579,Chronic Disease Control and Prevention
1964,GH 580,Control Of FoodWaterborne Disease
1965,GH 584,Evidence-Based Decision Making
1966,GH 595,Applied Practice Experience
1967,GH 595H,Humphrey Fellow Practicum
1968,GH 596,Maternal Child Health
1969,GH 596L,MCH Foundations Lab
1970,GH 597R,Directed Study
1971,GH 599R,Thesis
1972,GMB 570R,Introductory Graduate Seminar
1973,GMB 597R,Laboratory Rotations
1974,GMB 699R,Advanced Graduate Research
1975,GMB 706,Ethical Conduct in Research
1976,GMB 799R,Dissertation Research
1977,GRAD 700R,Interdisciplinary Seminar Public Humanities
1978,GRAD 700R,Interdisciplinary Seminar Eating Ethics
1979,GRAD 700R,Interdisciplinary Seminar Health& Healthy Equity
1980,GRK 102,Elementary Greek II
1981,GRK 110,Intensive Elementary Greek
1982,GRK 202,Intermediate Greek Poetry
1983,GRK 312,Tragedy
1984,GRK 495RW,Honors
1985,GRK 498R,Supervised Reading
1986,GRK 597R,Directed Readings in Greek
1987,HC 502,Medieval Christian Thought
1988,HC 504,Introduction to the Reformation and Early Modern Christianity 1450-1750
1989,HC 505,History of American Christianity
1990,HC 509,The Making of Global Christianity
1991,HC 620,Theology in the Monastic Tradition
1992,HC 653,World Evangelism in an Age of Empire
1993,HC 654,Faith and Reason
1994,HC 658,Women and Gender in U.S. Religious History
1995,HC 698,Special Topics in Historical Theology Ecclesiastical Latin
1996,HC 699R,Directed Study
1997,HEBR 102,Elementary Modern Hebrew II
1998,HEBR 202,Intermediate Modern Hebrew II
1999,HEBR 302,Advanced Modern Hebrew II
2000,HEBR 370,Topics in Hebrew Conversational Hebrew
2001,HEBR 430R,Modern Hebrew Literature
2002,HEBR 497R,Supervised Reading
2003,HEBR 510R,Intensive Hebrew Language Training
2004,HGC 730B,Genetic Counseling Seminar II
2005,HGC 730D,Genetic Counseling Seminar IV
2006,HGC 735B,Clinical Practicum Rotation 1
2007,HGC 735C,Clinical Practicum Rotation Ii
2008,HGC 735H,Clinical Practicum Rotation VII
2009,HGC 735I,Clinical Practicum Rotation VIII
2010,HGC 740B,Focus Internship II
2011,HGC 740D,Focus Internship IV
2012,HGC 740E,Focus Internship V
2013,HGC 745B,Medical Genetics II
2014,HGC 750,Genetic Counseling Theory & Practice II
2015,HGC 755,Current Topics in Clinical Genetic Testing
2016,HGC 760,Genetics for Common Diseases
2017,HGC 815B,Genetic Counseling Research II
2018,HGC 820,Hot Topics in Genomics
2019,HGC 825,Genetic Counseling Independent Study I
2020,HISP 597R,Directed Study
2021,HISP 710,Topics in Identity and Citizenship
2022,HISP 740,Topics in Texts and Culture Moveable PastsHistory& Memory
2023,HISP 740,Topics in Texts and Culture Brazilian Ideas Art & Culture
2024,HISP 740,Topics in Texts and Culture Introduction to Social Theory
2025,HISP 797R,Directed Study
2026,HIST 150,Great Books History
2027,HIST 190,Freshman Seminar Epidemics in History
2028,HIST 190,Freshman Seminar LawJusticeEmpire Americas
2029,HIST 190,Freshman Seminar Fake News  Contemporary World
2030,HIST 196,Special Topics Cross-listed Introduction to Jewish Studies
2031,HIST 211,Latin America A History
2032,HIST 232,Making of Modern America U.S. Since 1877
2033,HIST 241,Topics in History and Text Slave Revolts in North America
2034,HIST 279,Post-Mao China After 1976
2035,HIST 285,Topics Historical Analysis Roman Britain Edge of Empire
2036,HIST 285,Topics Historical Analysis Health in Latin Amer. History
2037,HIST 285,Topics Historical Analysis Asian American History
2038,HIST 296,Special Topics Cross-listed Afro-Indigenous History
2039,HIST 296,Special Topics Cross-listed LGBTQ Cultures Since Stonewall
2040,HIST 296,Special Topics Cross-listed Religion and American Law
2041,HIST 296,Special Topics Cross-listed IsraelCase Study Nation Build
2042,HIST 320W,The Soviet Union
2043,HIST 323,Reformation Europe
2044,HIST 325W,The Classical Tradition & American Founding
2045,HIST 359,American Routes
2046,HIST 360,Mexico Aztecs to Narcos
2047,HIST 363W,Sugar and Rum
2048,HIST 367,The Making of South Africa
2049,HIST 374W,Choson Last Dynasty of Korea
2050,HIST 383,The Arab-Israeli Conflict
2051,HIST 385,Spec Topics History American Conservatisms
2052,HIST 385,Spec Topics History The US & Latin America
2053,HIST 385,Spec Topics History Journalism & Digital Archives
2054,HIST 396,Special Topics Cross-listed African Diaspora Americas
2055,HIST 396,Special Topics Cross-listed Re-presenting the PastLit.
2056,HIST 396,Special Topics Cross-listed Beyond Bollywood
2057,HIST 398R,Research Tutorial
2058,HIST 398RW,Research Tutorial
2059,HIST 409W,"Mozart's World, Mozart's Women"
2060,HIST 487RW,JrSr Colloquium Europe Living the French Revolution
2061,HIST 488RW,Jr.Sr. Colloquium U.S. Slavery & the Archive
2062,HIST 488RW,Jr.Sr. Colloquium U.S. Racial Violence in Mod.America
2063,HIST 489RW,JrSr Coll LatAm&NonWest Wrld Law & Empire in Atlantic World
2064,HIST 494R,History Internship
2065,HIST 495A,Intro Historical Interpretation I
2066,HIST 495BW,Intro Historical Interpretation II
2067,HIST 496,Special Topics Cross-listed Brazilian Ideas Art & Culture
2068,HIST 496W,Special Topics Cross-listed Imagining Modernity
2069,HIST 498R,Supervised Reading
2070,HIST 584,Research Workshop in History
2071,HIST 585,Special Topics in History Approaches to Jewish History
2072,HIST 585,Special Topics in History ColonialPostcolonial History
2073,HIST 585,"Special Topics in History Race, Rights and Resistance"
2074,HIST 585,Special Topics in History Fin-de-Siecle PoliticsCulture
2075,HIST 585,Special Topics in History Spatial Revolution!Soviet Arch
2076,HIST 585,Special Topics in History Brazilian Ideas Art & Culture
2077,HIST 585P,Special Topics In History 2nd Research Paper Course
2078,HIST 596R,Special Studies LatAm&NonWest WrldLaw&Emp.
2079,HIST 597R,Directed Reading
2080,HIST 599R,Research
2081,HIST 790B,Professionalization Seminars
2082,HIST 799R,Advanced Research
2083,HLTH 200,Peer Health Training
2084,HLTH 207,Fundamentals of Epidemiology
2085,HLTH 210,Predictive Health and Society
2086,HLTH 230,Health and Humanities
2087,HLTH 250,Foundations of Global Health
2088,HLTH 285,Topics in Human Health Critiquing HLTH News
2089,HLTH 306,Designing Health Research
2090,HLTH 321,Nutrition Across Life Cycle
2091,HLTH 331,Disability & Bioethics
2092,HLTH 340,"Food, Health, and Society"
2093,HLTH 350R,Core Issues in Global Health DrugsCrimeGlobal Public Hlth
2094,HLTH 370,Health Policy
2095,HLTH 385,Special Topics Human Health War and Trauma
2096,HLTH 385,Special Topics Human Health Motor Physiology
2097,HLTH 385,Special Topics Human Health Nutrition for Performing Arts
2098,HLTH 385,Special Topics Human Health Health Behind Locked Doors
2099,HLTH 385,Special Topics Human Health Storytelling for Scientists
2100,HLTH 385,Special Topics Human Health Principles of Drama Therapy
2101,HLTH 385,"Special Topics Human Health Hlth,Social Media,Performance"
2102,HLTH 385,Special Topics Human Health Maternal & Child Nutrition
2103,HLTH 385,Special Topics Human Health Century HLTH & Well-being
2104,HLTH 385,Special Topics Human Health Science of Integrative Health
2105,HLTH 397R,Directed Reading
2106,HLTH 399R,Directed Research
2107,HLTH 415,Future Health
2108,HLTH 420,Mythbusters Nutrition Facts and Fiction
2109,HLTH 469,Medical Discourse in Latin America
2110,HLTH 470,Research in Health Economics
2111,HLTH 485,Variable Topics in Human Health Birth and Global Health
2112,HLTH 495BW,Honors Research
2113,HLTH 497R,Independent Reading
2114,HLTH 499R,Independent Research
2115,HNDI 102,Elementary Hindi II
2116,HNDI 202,Intermediate Hindi II
2117,HNDI 410R,Advanced Language and Culture
2118,HNDI 497R,Directed Study
2119,HPM 500,Intro To US Health Care System
2120,HPM 511,Fin ManageHealth Care Organizatio
2121,HPM 522,Econ Eval Of Health Care Programs
2122,HPM 523,Public FinancingHealth Care Syste
2123,HPM 534,Grant Writing for Public Health
2124,HPM 540,Human Resource Mgmt In Health Care
2125,HPM 545,Health Care Marketing
2126,HPM 550,Capstone-Operations Management
2127,HPM 552,"Health Information Technology Policy, Evidence, and Management Strategies"
2128,HPM 554,Quality Improvement MethHlth Care
2129,HPM 556,Physician Performances
2130,HPM 557,Healthcare Administration Law
2131,HPM 559,Negotiation and Conflict Management in the Healthcare Setting
2132,HPM 561,Fundamentals Of Public Health Law
2133,HPM 569,Women''s Health Policy
2134,HPM 570,Comparative Health Systems
2135,HPM 575,Capstone-Advanced Topics in Policy Analysis
2136,HPM 586,Quantitative Methods II (Stata)
2137,HPM 592,Case Studies in Public Mental Health
2138,HPM 595,Applied Practice Experience
2139,HPM 596,Maternal Child Health
2140,HPM 596L,MCH Foundations Lab
2141,HPM 597R,Directed Study
2142,HPM 598R,Special Study Project
2143,HPM 599R,Thesis
2144,HPM 720R,Doctoral Seminiar in Health Policy
2145,HPM 730,Theory-Based Research Design
2146,HPM 797R,Directed Study
2147,HPM 798R,Pre-Candidacy Research
2148,HPM 799R,Dissertation Research
2149,IBS 500R,Current Topics In Bioscience
2150,IBS 500R,Current Topics In Bioscience Adv. Graduate Teaching Seminar
2151,IBS 500R,Current Topics In Bioscience Viral Pathogenesis
2152,IBS 506R,Basic Mech.Of Neurological Disease
2153,IBS 513,Virology
2154,IBS 514,CellularDevelopmnt'l Neuro.
2155,IBS 522R,Hypothesis Design and Scientific Writing
2156,IBS 524,Cancer Biology II
2157,IBS 530R,Frontiers in Neuroscience
2158,IBS 532,Introduction to Molecular and Systems Pharmacology II
2159,IBS 534,Computational Neuroscience
2160,IBS 538,Statistical Design and Analysis of Experiments
2161,IBS 546R,Presenting Genetics
2162,IBS 547,Mole Biol & Gene Of Visual System
2163,IBS 548,Biology of the Eye
2164,IBS 561,Eukaryotic Chromosome Org. & Func.
2165,IBS 570,EssentialsAnimal Experiment
2166,IBS 574,Computational Biology & Bioinform
2167,IBS 592,Quantitative Methods In PBEE
2168,IBS 599R,Thesis Research (Masters Level)
2169,IBS 690,Laboratory Animal Pathology and Problem-based Learning
2170,IBS 699R,Advanced Graduate Research
2171,IBS 747R,Current Topics In Immunology
2172,IBS 796R,Advanced Topics in PBEE Science Education and Pedagogy
2173,IBS 796R,Advanced Topics in PBEE Origin of Species
2174,IBS 796R,Advanced Topics in PBEE Inf. Disease Across Scales
2175,ICIVS 710,Historiography of Islam
2176,ICIVS 770,Special Topics in ICIVS Feminine & the Sacred in Islam
2177,ICIVS 770,Special Topics in ICIVS Sexuality Theory and Religion
2178,ICIVS 770,"Special Topics in ICIVS Platonism, Neoplatonism"
2179,ICIVS 790R,Qualifying Exam Preparation
2180,ICIVS 797R,Directed Study
2181,ICIVS 799R,Dissertation Research
2182,IDS 190,Fresh Sem IDS Interdisc.Persp.of Wellbeing
2183,IDS 200W,Interdisciplinary Foundations
2184,IDS 205W,Science & the Nature of Evidence
